Log: 'SolutionLog' (11-mar-2013 / 12:42:40)

 - From 0 to 2
 - From 2 to 1
 - From 0 to 2
 - From 1 to 2
 - From 2 to 0
 - From 2 to 1
 - From 0 to 1
 - From 0 to 2
 - From 1 to 2
 - From 2 to 0
 - From 1 to 2
 - From 0 to 2
 - From 2 to 1
 - From 2 to 0
 - From 1 to 0
 - From 2 to 1
 - From 1 to 2
 - From 2 to 1
 - From 0 to 1
 - From 0 to 2
 - From 2 to 0
 - From 1 to 2
 - From 0 to 1
 - From 2 to 1
 - From 0 to 2
 - From 1 to 2
 - From 2 to 0
 - From 1 to 2
 - From 0 to 2
 - From 2 to 1
 - From 2 to 0
 - From 1 to 0
 - From 1 to 2
 - From 0 to 2
 - From 2 to 1
 - From 0 to 2
 - From 1 to 2
